FirstName,LastName,Position,Number,Class,Role,Team,Season
Jordan,Travis,QB,13,RS Senior,Starter,Florida State,2023
Trey,Benson,Tailback,3,RS Junior,Starter,Florida State,2023
Keon,Coleman,WR,4,Junior,Starter,Florida State,2023
Jared,Verse,Defensive End,5,RS Senior,Starter,Florida State,2023
Braden,Fiske,DT,55,RS Senior,Starter,Florida State,2023
Kalen,DeLoach,LB,4,RS Senior,Starter,Florida State,2023
Renardo,Green,CB,8,RS Senior,Starter,Florida State,2023
Akeem,Dent,S,1,RS Senior,Starter,Florida State,2023
Robert,Scott,OT,74,RS Junior,Starter,Florida State,2023
Maurice,Smith,C,54,RS Senior,Starter,Florida State,2023
Ryan,Fitzgerald,K,88,RS Junior,Starter,Florida State,2023
Alex,Mastromanno,P,29,Senior,Starter,Florida State,2023
Tate,Rodemaker,QB,18,RS Junior,Backup,Florida State,2023
Lawrance,Toafili,Tailback,9,RS Junior,Backup,Florida State,2023
Destyn,Hill,WR,7,Freshman,Backup,Florida State,2023
Patrick,Payton,Defensive End,11,RS Sophomore,Starter,Florida State,2023
Joshua,Farmer,DT,47,RS Sophomore,Backup,Florida State,2023
DJ,Lundy,LB,10,RS Junior,Backup,Florida State,2023
Azareye'h,Thomas,CB,13,Sophomore,Backup,Florida State,2023
Shyheim,Brown,S,38,RS Sophomore,Starter,Florida State,2023
Samuel,Singleton,Tailback,28,Freshman,,Florida State,2023
Hykeem,Williams,WR,8,Freshman,,Florida State,2023
Blake,Nichelson,LB,18,Freshman,,Florida State,2023
Conrad,Hussey,DB,12,Freshman,,Florida State,2023
